final_call_type,CARE,SPD,SPD/CARE Co-Response
TRAFFIC - BO SIGNALS AND DOWN SIGNS,0.0,100.0,0.0
TRAFFIC - COMMUNITY TRAFFIC COMPLAINT (CTC),0.0,100.0,0.0
TRAFFIC - D.U.I.,0.0,99.4261119081779,0.5738880918220948
TRAFFIC - MOVING VIOLATION,0.0,99.95855208621165,0.04144791378833932
TRAFFIC - MV COLLISION INVESTIGATION,0.0,99.94303076338778,0.05696923661222939
TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),0.0,99.99459693105685,0.005403068943159715
TRAFFIC - PEDESTRIAN VIOLATION,0.0,100.0,0.0
TRAFFIC - REFUSE TO STOP (PURSUIT),0.0,100.0,0.0
TRAFFIC - ROAD RAGE,0.0,100.0,0.0
TRAFFIC - SCHOOL ZONE ENFORCEMENT,0.0,100.0,0.0
TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS),0.0,100.0,0.0
TRAFFIC STOP - OFFICER INITIATED ONVIEW,0.0,100.0,0.0
"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",0.0,100.0,0.0
TRESPASS,0.0,99.6,0.4
TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0.0,100.0,0.0
TRU - AUTO THEFT,0.0,100.0,0.0
TRU - COMMERCIAL BURGLARY,0.0,100.0,0.0
TRU - DISTURBANCE,0.0,100.0,0.0
TRU - FOLLOW UP,0.0,100.0,0.0
TRU - FRAUD,0.0,100.0,0.0
TRU - HARASSMENT,0.0,100.0,0.0
TRU - JUVENILE - RUNAWAY,0.0,100.0,0.0
TRU - MISSING ADULT,0.0,100.0,0.0
TRU - MVC - HIT AND RUN,0.0,100.0,0.0
TRU - PROPERTY DESTRUCTION/DAMAGE,0.0,100.0,0.0
TRU - RESIDENTIAL BURGLARY,0.0,100.0,0.0
TRU - ROAD RAGE,0.0,100.0,0.0
TRU - ROBBERY,0.0,100.0,0.0
TRU - SHOPLIFT,0.0,100.0,0.0
TRU - SUSPICIOUS CIRCUMSTANCES,0.0,100.0,0.0
TRU - THEFT,0.0,100.0,0.0
TRU - THEFT/LOSS OF PLATES,0.0,100.0,0.0
TRU - THREATS,0.0,100.0,0.0
TRU - VEHICLE COLLISION,0.0,100.0,0.0
UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),0.0,100.0,0.0
UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),0.0,100.0,0.0
UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0.0,99.14529914529915,0.8547008547008548
"URINATING, DEFECATING IN PUBLIC",0.0,100.0,0.0
VICE - GAMBLING,0.0,100.0,0.0
VICE - LIQUOR (BUSINESS ESTABLISHMENT),0.0,100.0,0.0
VICE - OTHER,0.0,100.0,0.0
VICE - PORNOGRAPHY,0.0,100.0,0.0
VICE - PROSTITUTION,0.0,99.62962962962963,0.3703703703703704
VICE - VIOL. OF SOAP ORDER,0.0,100.0,0.0
WARRANT - FELONY PICKUP,0.0,100.0,0.0
WARRANT - MISD PICKUP,0.0,100.0,0.0
WARRANT - SEARCH. CAUTION (EXCL NARCOTICS),0.0,100.0,0.0
"WARRANT - SEARCH. EXECUTED, SECURED",0.0,100.0,0.0
WARRANT PICKUP - FROM OTHER AGENCY,0.0,85.71428571428571,14.285714285714285
WARRANT SERVICES - FELONY,0.0,99.59742351046698,0.40257648953301123
WARRANT SERVICES - MISDEMEANOR,0.0,99.51219512195122,0.4878048780487805
"WATER FLOODS (BROKEN MAINS/HYDRANTS, NO HAZ)",0.0,100.0,0.0
"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",0.0,100.0,0.0
"WEAPON, PERSON WITH - GUN",0.0,100.0,0.0
"WEAPON,PERSON WITH - OTHER WEAPON",0.0,99.73474801061008,0.2652519893899204
"WIRES DOWN (PHONE, ELECTRICAL,ETC.)",0.0,100.0,0.0
